Date,WU_SFH_Num,WU_SFH_Gal,WU_MFH_Num,WU_MFH_Gal,WU_Com_Num,WU_Com_Gal,WU_Ind_Num,WU_Ind_Gal,CL_Days_GT001Prec,CL_Days_GT010Prec,CL_Days_MinLT32Temp,CL_Days_MaxGT90Temp,CL_Days_MinLT0Temp,CL_Days_MaxLT32Temp,CL_Dep_AveTemp,CL_Dep_MaxTemp,CL_Dep_MinTemp,CL_Dep_Prec,CL_GR_Prec,CL_MAX_SLPress,CL_MaxTemp,CL_MeanTemp,CL_MinSLPress,CL_MinTemp,CL_SLPress,CL_StaPress,CL_Tot_Prec,CL_Tot_Snowfall,CL_ShortDur_005Prec,CL_ShortDur_060Prec,CL_ShortDur_180Prec,EC_Mdol_Imports_N,EC_NPer_Unemp_N,EC_NPer_Emp_N,EC_Perc_LaborPartic_S,EC_N1UnitHU_Permit_S,EC_NTotHU_Permit_S,EC_TPer_Const_N,EC_TPer_EducHealth_N,EC_TPer_Fin_N,EC_TPer_Mfg_N,EC_TPer_NonFarm_N,EC_CoincEconActInd_S,EC_Perc_Unemp_N,EC_Tper_3MoCh_NonFarm_S,EC_TPer_TotPri_S,EC_Tper_3MoCh_TotPri_S,EC_TPer_TranUtil_S,EC_TPer_LeisHosp_S,EC_TPer_StateGov_S,EC_TPer_TotPri_N,EC_TPer_TranUtil_N,EC_TPer_LeisHosp_N,EC_TPer_StateGov_N
6/1/2014,45376,264524717,18911,186102325,4300,148930143,46,11389938,,,,,,,,,,,,,,,,,,,,,,,,750.652265,40865,518087,65.2,77.96543725,83.37719275,17.5,102.4,34.4,41.3,487.4,105.35,7.3,1,417.8,0.9,11,8.8,19.9,424.2,11.3,10.3,18.5
7/1/2014,45334,367179953,18872,197918990,4312,167422775,45,11042642,9,4,0,3,0,0,0.6,0.1,1.2,0.3,2.68,30.27,82.9,74.1,29.48,65.4,29.96,29.89,3.59,0,0.18,0.88,1.51,675.359839,44983,517778,65.2,81.2799927,92.8724833,17.8,101.7,34.5,40.4,482.9,105.96,8,0.5,418.5,0.4,11,8.7,19.9,423,10.4,10.9,18.4
8/1/2014,45348,378157062,18883,197991022,4308,164088274,44,12540923,5,3,0,1,0,0,-1.8,-1,-2.6,-0.9,2.26,30.32,80.4,70.5,29.62,60.6,30.02,29.95,2.7,0,0,0,0,645.067669,43758,516582,65.2,61.03977767,68.72609154,17.7,101.1,34.3,41.1,483,106.57,7.8,0.3,419.3,0.3,11.1,8.7,19.9,423.5,10.6,10.6,18.4
9/1/2014,45372,418442390,18918,213036833,4317,177599727,44,13659161,5,3,0,2,0,0,1.4,2.2,0.5,-3.18,0.37,30.61,76.4,66.1,29.57,55.8,30.1,30.03,0.74,0,0.2,0.37,0.37,726.575961,38812,516736,65.2,65.9558994,71.88687287,17.5,106,34.3,41.1,491.1,107,7,0.8,420,0.7,11.1,8.8,19.9,425.7,11.4,9.6,20.6
10/1/2014,45344,303188523,18896,201571923,4303,190695172,45,11056158,12,8,0,0,0,0,2.5,1.3,3.7,-0.63,0.94,30.37,64.6,56.1,29.47,47.6,29.93,29.85,3.3,0,0.14,0.41,0.65,781.03296,36182,521640,65.2,81.80948745,87.04924241,17.5,107.6,34.2,41.2,490.9,107.6,6.5,0.5,420.1,0.5,11.2,8.9,19.9,425.8,11.4,9.2,20.4
11/1/2014,40984,195484923,13305,125340595,3508,109519938,38,10426776,10,7,14,0,0,0,-2.6,-2.3,-2.8,0.94,1.54,30.47,50.9,41.9,29.44,32.9,29.99,29.93,5.45,1.6,0.05,0.32,0.69,590.622708,37553,521198,65.2,53.61156785,60.37223305,17.3,108.1,34.2,41.3,490.9,108.22,6.7,0.6,421,0.6,11.2,8.9,19.9,425.3,11.6,8.1,20.3
12/1/2014,45363,204545320,18906,178480437,4296,117589340,44,8932145,15,9,19,0,0,3,3.6,2.5,4.7,2.03,2.74,30.73,44.8,37.9,29.43,31,30.09,30.02,6.25,0.9,0,0,0,689.223644,35075,521916,65.2,74.20142281,89.66748553,16.8,107.9,34.3,41.4,490.7,108.89,6.3,0.6,422.2,0.7,11.3,8.9,19.8,425.5,12.1,8.1,20.2
1/1/2015,45378,208900468,18905,182783681,4283,118727826,44,10770579,12,7,29,0,1,11,-3,-3.2,-2.8,-0.24,1.04,30.68,34.2,26.2,29.13,18.2,30.06,29.99,3.62,25.6,0,0,0,563.523193,41302,515077,65.2,57.69323449,63.38395266,14.8,104.4,34,41.1,473.8,109.34,7.4,0.9,422.8,0.9,11.4,9,19.8,408.9,11.2,7.2,20.2
2/1/2015,27304,117708332,15073,164156948,3154,98532305,30,8890361,13,7,28,0,7,20,-13.6,-12,-15.1,-0.56,0.87,30.76,28.3,18.4,29.3,8.5,30.02,29.96,2.73,31.8,0,0,0,611.605315,39516,517386,65.2,25.50420198,28.19785683,14,105.8,34.1,40.8,472.4,109.64,7.1,-0.5,419.6,-0.5,11.2,8.9,19.8,407.5,10.9,7.2,20.2
3/1/2015,45394,191671559,18915,176065796,4292,120196921,44,9627224,14,11,27,0,0,3,-6.2,-6.2,-6.2,-0.61,1.09,30.71,41.6,32.7,29.41,23.8,30.06,29.99,4.4,16.3,0.07,0.31,0.54,670.668495,36938,517118,65.2,56.85897023,66.12130775,14.4,106.9,34.4,40.9,476.4,110.07,6.7,-0.4,421.1,-0.4,11.2,9,19.8,411.5,10.9,7.5,20.2
